timestamp,temp,setpoint,rpm,pwm
1765042358385,89.76,12,54,173
1765042358386,89.76,12,54,173
1765042358386,89.76,12,54,173
1765042358386,89.76,12,54,173
1765042358387,89.76,12,54,173
1765042358386,89.76,12,54,173
1765042358387,89.76,12,54,173
1765042358387,89.76,12,54,173
1765042358387,89.76,12,54,173
1765042358387,89.76,12,54,173
1765042358387,89.76,12,54,173
1765042358388,89.76,12,54,173
1765042358388,89.76,12,54,173
1765042358388,89.76,12,54,173
1765042358388,89.76,12,54,173
1765042358388,89.76,12,54,173
1765042358388,89.76,12,54,173
1765042358388,89.76,12,54,173
1765042358388,89.76,12,54,173
1765042358389,89.76,12,54,173
1765042358389,89.76,12,54,173
1765042358389,89.76,12,54,173
1765042358389,89.76,12,54,173
1765042358389,89.76,12,54,173
1765042358389,89.76,12,54,173
1765042358389,89.76,12,54,173
1765042358389,89.76,12,54,173
1765042358389,89.76,12,54,173
1765042358389,89.76,12,54,173
1765042358389,89.76,12,54,173
1765042358390,89.76,12,54,173
1765042358390,89.76,12,54,173
1765042358390,89.76,12,54,173
1765042358390,89.76,12,54,173
1765042358390,89.76,12,54,173
1765042358390,89.76,12,54,173
1765042358390,89.76,12,54,173
1765042358390,89.76,12,54,173
1765042358390,89.76,12,54,173
1765042358390,89.76,12,54,173
1765042358390,89.76,12,54,173
1765042358391,89.76,12,54,173
1765042358391,89.76,12,54,173
1765042358391,89.76,12,54,173
1765042358391,89.76,12,54,173
1765042358391,89.76,12,54,173
1765042358391,89.76,12,54,173
1765042358391,89.76,12,54,173
1765042358391,89.76,12,54,173
1765042358391,89.76,12,54,173
1765042358391,89.76,12,54,173
1765042358391,89.76,12,54,173
1765042358391,89.76,12,54,173
1765042358391,89.76,12,54,173
1765042358391,89.76,12,54,173
1765042358391,89.76,12,54,173
1765042358391,89.76,12,54,173
1765042358391,89.76,12,54,173
1765042358391,89.76,12,54,173
1765042358392,89.76,12,54,173
1765042358392,89.76,12,54,173
1765042358392,89.76,12,54,173
1765042358392,89.76,12,54,173
1765042358392,89.76,12,54,173
1765042358392,89.76,12,54,173
1765042358392,89.76,12,54,173
1765042358396,89.76,12,54,173
1765042358396,89.76,12,54,173
1765042358396,89.76,12,54,173
1765042358397,89.76,12,54,173
1765042358397,89.76,12,54,173
1765042358397,89.76,12,54,173
1765042358397,89.76,12,54,173
1765042358397,89.76,12,54,173
1765042358397,89.76,12,54,173
1765042358397,89.76,12,54,173
1765042358397,89.76,12,54,173
1765042358398,89.76,12,54,173
1765042358398,89.76,12,54,173
1765042358398,89.76,12,54,173
1765042358398,89.76,12,54,173
1765042358398,89.76,12,54,173
1765042358398,89.76,12,54,173
1765042358398,89.76,12,54,173
1765042358398,89.76,12,54,173
1765042358398,89.76,12,54,173
1765042358398,89.76,12,54,173
1765042358398,89.76,12,54,173
1765042358399,89.76,12,54,173
1765042358399,89.76,12,54,173
1765042358399,89.76,12,54,173
1765042358399,89.76,12,54,173
1765042358399,89.76,12,54,173
1765042358399,89.76,12,54,173
1765042358399,89.76,12,54,173
1765042358399,89.76,12,54,173
1765042358399,89.76,12,54,173
1765042358399,89.76,12,54,173
1765042358399,89.76,12,54,173
1765042358399,89.76,12,54,173
1765042358399,89.76,12,54,173
1765042358400,89.76,12,54,173
1765042358400,89.76,12,54,173
1765042358400,89.76,12,54,173
1765042358400,89.76,12,54,173
1765042358400,89.76,12,54,173
1765042358400,89.76,12,54,173
1765042358400,89.76,12,54,173
1765042358400,89.76,12,54,173
1765042358400,89.76,12,54,173
1765042358400,89.76,12,54,173
1765042358400,89.76,12,54,173
1765042358400,89.76,12,54,173
1765042358401,89.76,12,54,173
1765042358401,89.76,12,54,173
1765042358401,89.76,12,54,173
1765042358401,89.76,12,54,173
1765042358401,89.76,12,54,173
1765042358401,89.76,12,54,173
1765042358401,89.76,12,54,173
1765042358401,89.76,12,54,173
1765042358401,89.76,12,54,173
1765042358401,89.76,12,54,173
1765042358402,89.76,12,54,173
1765042358402,89.76,12,54,173
1765042358402,89.76,12,54,173
1765042358402,89.76,12,54,173
1765042358402,89.76,12,54,173
1765042358402,89.76,12,54,173
1765042358402,89.76,12,54,173
1765042358402,89.76,12,54,173
1765042358402,89.76,12,54,173
1765042358402,89.76,12,54,173
1765042358402,89.76,12,54,173
1765042358402,89.76,12,54,173
1765042358403,89.76,12,54,173
1765042358403,89.76,12,54,173
1765042358403,89.76,12,54,173
1765042358403,89.76,12,54,173
1765042358403,89.76,12,54,173
1765042358403,89.76,12,54,173
1765042358403,89.76,12,54,173
1765042358403,89.76,12,54,173
1765042358403,89.76,12,54,173
1765042358403,89.76,12,54,173
1765042358403,89.76,12,54,173
1765042358403,89.76,12,54,173
1765042358404,89.76,12,54,173
1765042358404,89.76,12,54,173
1765042358404,89.76,12,54,173
1765042358404,89.76,12,54,173
1765042358404,89.76,12,54,173
1765042358404,89.76,12,54,173
1765042358404,89.76,12,54,173
1765042358404,89.76,12,54,173
1765042358404,89.76,12,54,173
1765042358404,89.76,12,54,173
1765042358404,89.76,12,54,173
1765042358404,89.76,12,54,173
1765042358404,89.76,12,54,173
1765042358405,89.76,12,54,173
1765042358405,89.76,12,54,173
1765042358405,89.76,12,54,173
1765042358405,89.76,12,54,173
1765042358405,89.76,12,54,173
1765042358405,89.76,12,54,173
1765042358405,89.76,12,54,173
1765042358405,89.76,12,54,173
1765042358405,89.76,12,54,173
1765042358405,89.76,12,54,173
1765042358405,89.76,12,54,173
1765042358405,89.76,12,54,173
1765042358406,89.76,12,54,173
1765042358406,89.76,12,54,173
1765042358405,89.76,12,54,173
1765042358406,89.76,12,54,173
1765042358406,89.76,12,54,173
1765042358406,89.76,12,54,173
1765042358406,89.76,12,54,173
1765042358406,89.76,12,54,173
1765042358406,89.76,12,54,173
1765042358406,89.76,12,54,173
1765042358406,89.76,12,54,173
1765042358406,89.76,12,54,173
1765042358406,89.76,12,54,173
1765042358406,89.76,12,54,173
1765042358407,89.76,12,54,173
1765042358407,89.76,12,54,173
1765042358407,89.76,12,54,173
1765042358407,89.76,12,54,173
1765042358407,89.76,12,54,173
1765042358407,89.76,12,54,173
1765042358407,89.76,12,54,173
1765042358407,89.76,12,54,173
1765042358407,89.76,12,54,173
1765042358408,89.76,12,54,173
1765042358408,89.76,12,54,173
1765042358408,89.76,12,54,173
1765042358408,89.76,12,54,173
1765042358408,89.76,12,54,173
1765042358408,89.76,12,54,173
1765042358408,89.76,12,54,173
1765042358409,89.76,12,54,173
1765042358409,89.76,12,54,173
1765042358409,89.76,12,54,173
1765042358409,89.76,12,54,173
1765042358409,89.76,12,54,173
1765042358410,89.76,12,54,173
